,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
7532,90156355,175000,flat,90.0,1,3,1,Avenida de los Apóstoles,Madrid,Latina,40.4073,-3.7413,3386,good,0,0,1944,0,0,Puerta del Ángel,2,1,,0
7533,90156466,92000,flat,48.0,1,1,1,Calle de Carlos I,Pinto,San José - Buenos Aires,40.2404,-3.704,19603,good,0,0,1917,0,0,nan,bj,0,,0
7534,90156412,140000,flat,59.0,0,3,1,Calle de la Hacienda de Pavones,Madrid,Moratalaz,40.4057,-3.6467,4940,good,0,0,2373,0,0,Vinateros,bj,0,,0
7535,33768657,223600,flat,76.0,0,2,1,"Calle Puerto de Maderi, 9",Madrid,Puente de Vallecas,40.3914,-3.667,4161,renew,0,0,2942,0,0,San Diego,2,1,,0
7536,90156237,285000,flat,99.0,1,2,2,barrio Pau de Carabanchel,Madrid,Carabanchel,40.3611,-3.7599,7828,good,0,0,2879,1,1,Pau de Carabanchel,5,1,,0
7537,90154961,495000,chalet,240.0,0,3,3,Cedro,Torrelodones,Los Robles,40.5841,-3.9257,26460,good,0,0,2063,1,1,nan,nan,0,,0
7538,90155420,225000,duplex,101.0,1,3,3,Perales del Rio,Getafe,Perales del Rio,40.3257,-3.6592,10782,good,0,0,2228,1,1,nan,2,1,,0
7539,90156122,325000,flat,86.0,1,3,1,"Avenida Pablo Iglesias, 25",Madrid,Moncloa,40.4482,-3.7093,3536,renew,0,0,3779,0,0,Ciudad Universitaria,3,1,,0
7540,90156106,230000,flat,80.0,0,2,1,Centro,Villanueva del Pardillo,Centro,40.4907,-3.9636,23517,good,0,0,2875,1,1,nan,bj,1,,0
7541,90156115,208020,flat,69.0,1,1,1,"Calle Agracejo, 3",Madrid,Tetuán,40.4663,-3.7057,5524,good,0,0,3015,0,0,Valdeacederas,bj,1,,0
7542,90156077,115000,flat,78.0,1,3,2,"Calle Hospitalet de Llobregat, 43",Getafe,Universidad,40.3146,-3.7204,11446,good,0,0,1474,0,0,nan,4,0,,0
7543,90156009,122000,flat,64.0,1,3,1,TANTALO,Madrid,Villaverde,40.353,-3.6796,7363,good,0,0,1906,0,0,Butarque,3,0,,0
7544,90156032,168000,flat,72.0,1,4,1,Calle de José de Cadalso,Madrid,Latina,40.3776,-3.7702,7145,renew,0,0,2333,0,0,Águilas,3,1,,0
7545,90155561,220000,flat,94.0,1,3,2,Calle VILLAMANIN,Madrid,Latina,40.4068,-3.7508,4174,good,0,0,2340,0,0,Lucero,3,1,,0
